[GIN] 2020/03/06 - 17:00:19 | 200 |   90.707968ms |             ::1 | GET      /v1/todayjson
[GIN] 2020/03/06 - 17:01:53 | 200 |   72.773322ms |             ::1 | GET      /v1/todayjson
[GIN] 2020/03/06 - 17:02:17 | 200 |  1.205372161s |             ::1 | POST     /v1/update
[GIN] 2020/03/06 - 17:02:17 | 200 |    1.056316ms |             ::1 | GET      /v1/comparegoal
[GIN] 2020/03/06 - 17:02:17 | 200 |  423.279514ms |             ::1 | GET      /v1/reviewfortimes?days=1
[GIN] 2020/03/06 - 17:02:56 | 200 |  490.235947ms |             ::1 | POST     /v1/createtask
[GIN] 2020/03/06 - 17:02:56 | 200 |     903.436µs |             ::1 | GET      /v1/comparegoal
[GIN] 2020/03/06 - 17:02:56 | 200 |  431.184405ms |             ::1 | GET      /v1/reviewfortimes?days=1
[GIN] 2020/03/06 - 17:03:17 | 200 |  433.482291ms |             ::1 | GET      /v1/reviewfortimes?days=1
[GIN] 2020/03/06 - 17:03:17 | 200 |    10.57465ms |             ::1 | GET      /v1/reviewdaydatajson
[GIN] 2020/03/06 - 17:03:17 | 200 |     908.811µs |             ::1 | GET      /v1/comparegoal
[GIN] 2020/03/06 - 17:03:17 | 200 |  428.740768ms |             ::1 | GET      /v1/reviewfortimes?days=1
